volumen_capacitados,nombre, facebook_seguidores,instagram_seguidores,numero_convocados
5465,cvimsa ecuador c-vimsaecuador s.a.,60,108,168
3431,seguridad industrial pompier chano seinpomep cia. ltda.,648,581,1229
2850,aguilar benavides juan miguel,7917,0,7917
2810,cetecform cia. ltda.,19000,9020,28020
1286,novillo mendoza max andres,24000,29500,53500
1224,capacitacion profesional geniusec cia.ltda.,12000,0,12000
1142,klavempresarial compañia anonima,6100,114,6214
786,chuquicondor pilamunga carmen yolanda (sherydan international group),714,78,792
397,instituto tecnologico superior almirante illingworth,9700,2593,12293
241,corporacion ecuatoriana para el desarrollo de la investigacion y la academia cedia,5500,0,5500
205,asociacion red de talento humano del ecuador redthumanoec s.a.,57100,81300,138400
