id_fact_oc_rs,id_razon_social,id_fecha,volumen_cap_cer,volumen_horas,volumen_ganancias,volumen_porcentaje_asistencia,total_cursos_perfiles
0,1,6,70.0,3020.0,38247.58095238095,0.0,4
1,100,3,26.0,4750.0,18275.0,0.0,2
2,100,6,57.0,9210.0,95929.8,0.0,3
3,1015,6,3.0,720.0,4950.628571428569,0.0,1
4,1038,7,310.0,37200.0,867876.0,0.0,1
5,1049,6,5.0,30.0,1250.0,0.0,1
6,1058,7,35.0,210.0,8750.0,0.0,1
7,1063,4,38.0,3280.0,67111.2,0.0,3
8,1063,7,674.0,36950.0,493054.5,0.0,6
9,1067,7,52.0,9360.0,32413.085714285695,0.0,2
10,1119,7,195.0,7800.0,110756.0,0.0,3
11,1147,6,523.0,15136.0,133722.36444444442,0.0,12
12,1153,4,155.0,6200.0,34084.0,0.0,6
13,1157,7,26.0,1040.0,19780.8,0.0,1
14,1163,6,242.0,9680.0,108376.8,0.0,6
15,12,6,493.0,19670.0,145410.5,0.0,3
16,1208,3,107.0,3210.0,30952.2,0.8704140567802815,4
17,1208,4,143.0,4290.0,42772.5,1.1632636459773855,6
18,1208,6,33.0,990.0,9217.5,0.26844545676401205,2
19,1209,7,280.0,5456.0,151908.56,0.0,16
20,121,3,153.0,4934.0,8422.02,0.0,5
21,121,4,125.0,3934.0,6714.900000000001,0.0,5
22,121,6,216.0,6252.0,10635.480000000001,0.0,9
23,1217,4,10.0,1200.0,23910.0,0.0,2
24,1237,7,28.0,1120.0,7700.977777777773,0.0,1
25,1241,7,21.0,8400.0,2772.0,0.0,1
26,1242,6,6.0,92.0,1678.952380952381,0.0,4
27,1243,6,106.0,848.0,5830.740317460314,0.0,2
28,1248,7,56.0,336.0,14000.0,0.0,2
29,1264,4,4.0,160.0,2115.2000000000003,0.0,2
30,1264,7,186.0,7440.0,98356.80000000002,0.0,3
31,1271,7,90.0,23920.0,717.5999999999999,0.0,3
32,1280,6,360.0,6480.0,87602.4,0.0,3
33,1286,3,164.0,6336.0,53619.36000000001,2.6392018023817188,4
34,1286,4,325.0,9994.0,118099.9892063492,5.2301255230125525,7
35,1286,6,1487.0,29436.0,484469.69523809524,23.929835854522047,23
36,129,3,131.0,5240.0,99664.79999999999,0.0,1
37,129,4,4.0,40.0,2374.7999999999997,0.0,1
38,129,6,438.0,13566.0,328366.56,0.0,8
39,1296,4,44.0,352.0,2420.3073015873,0.0,1
40,1296,6,16.0,128.0,880.1117460317455,0.0,1
41,1307,7,145.0,870.0,36250.0,0.0,1
42,1323,6,144.0,10028.0,37397.92,0.0,4
43,1330,6,216.0,5608.0,51922.49523809522,0.0,10
44,1335,7,6.0,120.0,825.1047619047614,0.0,1
45,1356,4,116.0,2370.0,57077.03999999999,0.0,3
46,1356,7,361.0,7972.0,55017.16,0.0,8
47,1372,6,80.0,480.0,20000.0,0.0,3
48,1375,3,69.0,4140.0,28466.11428571427,0.0,1
49,1375,4,4.0,240.0,1650.2095238095228,0.0,1
50,1375,5,1.0,60.0,412.5523809523807,0.0,1
51,1375,6,111.0,6660.0,45793.31428571426,0.0,1
52,1375,7,2.0,120.0,825.1047619047614,0.0,1
53,1396,7,237.0,9884.0,166872.32,0.0,4
54,1399,6,79.0,8840.0,49831.26349206348,0.0,6
55,1412,4,433.0,5886.0,104621.40000000001,0.0,8
56,1412,6,2645.0,37890.0,696552.72,0.0,14
57,1412,7,1.0,12.0,528.72,0.0,1
58,1414,7,15.0,900.0,6188.28571428571,0.0,1
59,1427,4,88.0,16800.0,18021.6,0.0,4
60,1427,6,430.0,71280.0,106077.6,0.0,10
61,1440,7,78.0,8382.0,91230.2,0.0,7
62,1452,2,1.0,8.0,528.72,0.0,1
63,1452,3,290.0,5178.0,87065.93904761903,0.0,8
64,1452,7,15.0,310.0,3501.0095238095228,0.0,2
65,147,4,10.0,1500.0,2415.0000000000005,0.0,1
66,147,6,38.0,5300.0,70712.5,0.0,3
67,149,4,188.0,2384.0,40588.12,0.13583815028901733,9
68,15,3,6.0,180.0,1237.6571428571422,0.0,1
69,15,6,32.0,1650.0,11345.190476190468,0.0,2
70,1508,3,72.0,2304.0,34456.32,0.0,2
71,1508,4,528.0,16212.0,222506.94,0.0,14
72,1508,6,1208.0,35656.0,295753.24,0.0,18
73,1519,6,3.0,288.0,1980.2514285714274,0.0,1
74,1559,5,66.0,1160.0,7976.012698412694,0.0,2
75,1563,7,1738.0,68494.0,581597.7000000001,0.0,7
76,1564,7,41.0,2870.0,20177.844444444432,0.0,2
77,157,7,4.0,96.0,356.15999999999997,0.0,1
78,1579,6,6.0,60.0,1426.8000000000002,0.0,1
79,1580,4,434.0,17140.0,183601.54285714283,0.811214953271028,10
80,1580,6,2193.0,61548.0,647540.9542857142,4.0990654205607475,63
81,1582,4,209.0,9320.0,58722.438095238074,0.0,9
82,1582,6,81.0,3720.0,30972.666666666664,0.0,9
83,1584,4,13.0,130.0,6182.8,0.0,1
84,1587,3,5.0,30.0,1250.0,0.0,1
85,1587,7,10.0,60.0,2500.0,0.0,1
86,1607,3,1828.0,24892.0,949665.52,0.0,40
87,1607,4,2054.0,34836.0,1291323.5999999999,0.0,44
88,1607,5,2.0,36.0,1522.08,0.0,2
89,1607,6,2.0,36.0,1522.08,0.0,2
90,1607,7,11144.0,228920.0,6544548.5200000005,0.0,96
91,161,7,87.0,1044.0,45998.64,0.0,1
92,1613,6,14.0,1320.0,2479.2,0.0,2
93,1615,7,862.0,17240.0,608908.6,0.0,9
94,162,7,30.0,180.0,7500.0,0.0,1
95,1624,7,30.0,1200.0,35628.0,0.0,2
96,1627,6,216.0,66860.0,4952548.2,0.0,3
97,1644,7,80.0,27422.0,575750.8400000001,0.0,3
98,1665,4,77.0,13090.0,90005.17777777772,0.0,2
99,1665,6,223.0,37910.0,260664.34603174584,0.0,2
100,1693,6,347.0,27568.0,81141.76,0.0,3
101,1730,7,173.0,5576.0,28157.12,0.0,11
102,1747,7,415.0,5260.0,202372.84,0.0,7
103,180,6,127.0,50030.0,1340512.522222222,0.0,5
104,1835,5,91.0,22732.0,79908.23999999999,0.0,4
105,1840,6,124.0,4960.0,18600.0,0.0,2
106,1850,6,2.0,12.0,500.0,0.0,1
107,186,6,20.0,800.0,3875.2,0.0,2
108,1860,4,5.0,1800.0,29736.0,0.0,1
109,1860,6,16.0,7720.0,193654.4,0.0,4
110,1870,6,124.0,2936.0,22488.744126984115,0.0,4
111,188,3,8.0,320.0,4230.400000000001,0.0,1
112,188,4,7.0,280.0,3701.6000000000004,0.0,1
113,188,7,21.0,972.0,14051.04,0.0,4
114,1889,7,126.0,40390.0,33372.8,0.0,4
115,1929,4,27.0,348.0,7092.299682539682,0.0,4
116,1929,6,149.0,2032.0,28483.05396825396,0.0,9
117,1930,7,454.0,4540.0,45489.4,0.0,4
118,1932,5,404.0,3346.0,11378.186666666665,32.87225386493084,5
119,1934,7,1004.0,32640.0,403175.2,0.0,25
120,194,3,1.0,267.0,1835.8580952380942,0.0,1
121,194,6,3.0,801.0,5507.574285714282,0.0,3
122,1941,7,117.0,6372.0,43813.06285714283,0.0,3
123,196,3,142.0,1136.0,75078.24,0.0,4
124,196,6,1.0,22.0,401.06,0.0,1
125,1968,7,10.0,2400.0,71.99999999999999,0.0,2
126,1970,7,16.0,2400.0,16502.09523809523,0.0,4
127,1971,7,36.0,4004.0,5192.72,0.0,5
128,1972,3,766.0,9442.0,123581.74,0.0,11
129,1972,6,385.0,5600.0,75945.0,0.0,10
130,1974,6,176.0,2944.0,133725.91999999998,0.0,12
131,1992,7,150.0,18000.0,123765.7142857142,0.0,5
132,1998,7,16.0,96.0,4000.0,0.0,2
133,2002,7,518.0,24080.0,41176.8,0.0,2
134,2009,6,32.0,192.0,8000.0,0.0,1
135,2039,7,389.0,16350.0,134822.0,0.0,5
136,2083,6,420.0,40480.0,99141.6,0.0,10
137,2088,4,92.0,2316.0,50926.74,0.0,4
138,2094,7,190.0,90960.0,35376.600000000006,0.0,6
139,2114,3,70.0,14700.0,212709.0,0.0,2
140,2114,7,132.0,27720.0,401108.4,0.0,2
141,212,4,448.0,5056.0,126614.72,0.0,20
142,212,6,2788.0,34560.0,791379.84,0.0,24
143,2134,6,35.0,210.0,8750.0,0.0,1
144,2165,7,130.0,6188.0,44217.86031746029,0.0,6
145,2191,3,20.0,6480.0,308188.8,0.0,1
146,2191,4,11.0,3564.0,169503.84,0.0,1
147,2191,6,28.0,9072.0,431464.32,0.0,1
148,2194,6,6.0,240.0,1650.2095238095228,0.0,1
149,2199,7,180.0,9637.0,151211.94000000003,0.0,6
150,220,3,96.0,2752.0,16704.0,0.0,6
151,220,4,204.0,8160.0,68238.0,0.0,4
152,220,6,588.0,22024.0,175500.0,0.0,10
153,2208,6,219.0,26280.0,15242.399999999998,0.0,3
154,235,4,54.0,2160.0,14851.885714285705,0.0,2
155,235,5,3.0,120.0,825.1047619047614,0.0,1
156,235,6,1.0,40.0,275.03492063492047,0.0,1
157,235,7,75.0,3000.0,20627.619047619035,0.0,3
158,243,6,5.0,200.0,2644.0000000000005,0.0,1
159,246,6,335.0,79080.0,1306401.5999999999,0.0,5
160,247,7,348.0,15628.0,131237.7231746031,0.0,13
161,257,6,1307.0,196050.0,848896.5,0.0,3
162,262,7,32.0,1280.0,8801.117460317455,0.0,1
163,263,3,45.0,440.0,12644.0,0.0,2
164,263,6,20.0,256.0,6115.200000000001,0.0,2
165,28,4,290.0,2216.0,104371.6,0.0,2
166,303,6,792.0,8444.0,238288.48,0.0,10
167,333,4,25.0,1000.0,6875.873015873011,0.20833333333333334,5
168,333,6,1313.0,67500.0,420079.26984126965,10.941666666666666,24
169,337,4,68.0,11520.0,49245.12000000001,0.0,6
170,337,6,48.0,6912.0,20615.04,0.0,4
171,341,6,26.0,416.0,2862.08,0.0,2
172,342,5,189.0,3780.0,6955.200000000001,0.0,1
173,344,7,836.0,28640.0,178944.63999999998,0.0,10
174,345,7,800.0,25760.0,322794.4,0.0,6
175,348,6,61.0,1420.0,20545.0,0.0,2
176,356,7,619.0,24760.0,735124.4000000001,0.0,3
177,36,5,2850.0,91200.0,1273621.892063492,35.998484274346346,22
178,371,4,16.0,640.0,8460.800000000001,0.0,1
179,371,6,308.0,12008.0,150940.32126984128,0.0,14
180,38,7,75.0,1504.0,13705.6,0.0,4
181,4,6,25.0,1500.0,7500.0,0.0,1
182,403,4,10.0,1000.0,16520.0,0.0,1
183,403,6,1.0,100.0,1652.0,0.0,1
184,405,7,19.0,722.0,8262.671746031745,0.0,2
185,417,4,7.0,280.0,1925.2444444444432,0.0,1
186,417,6,7.0,280.0,1925.2444444444432,0.0,1
187,440,3,49.0,15288.0,97687.20000000001,0.0,2
188,440,4,54.0,16848.0,75703.68000000001,0.0,2
189,440,6,235.0,68808.0,495740.88,0.0,4
190,445,7,793.0,456768.0,1635229.44,0.0,1
191,446,6,210.0,16800.0,115514.6666666666,0.0,1
192,452,6,5234.0,132950.0,1570741.4563492062,18.679514632405425,44
193,457,6,345.0,63930.0,2410.1400000000003,0.0,5
194,464,7,84.0,504.0,21000.0,0.0,2
195,472,5,6.0,240.0,2781.6000000000004,0.0,1
196,491,7,1336.0,107405.0,559110.99,168.68686868686868,33
197,50,6,84.0,31584.0,248786.7022222221,0.0,4
198,507,7,1708.0,198608.0,1365603.3879365071,0.0,4
199,518,7,29.0,1048.0,15114.160000000002,0.0,2
200,537,7,94.0,2432.0,16722.123174603163,0.0,3
201,538,6,98.0,10140.0,176361.59999999998,0.0,6
202,539,7,222.0,6760.0,92841.63873015874,0.0,32
203,541,6,143.0,3160.0,19890.0,0.0,2
204,558,7,1850.0,21398.0,812945.32,0.0,17
205,564,3,118.0,4720.0,4059.2,2.1454545454545455,3
206,564,4,87.0,3480.0,2992.7999999999997,1.581818181818182,3
207,564,7,198.0,7920.0,6811.2,3.6,7
208,572,6,17116.0,372460.0,4688166.50952381,0.0,99
209,582,6,9.0,120.0,4758.96,0.0,4
210,589,7,94.0,11220.0,193569.76,0.0,4
211,608,7,206.0,19640.0,53519.200000000004,0.0,6
212,613,7,20624.0,320600.0,5930162.34984127,12276.190476190477,192
213,623,7,420.0,2520.0,105000.0,0.0,2
214,632,6,1337.0,85568.0,240446.08000000002,0.0,1
215,644,7,12.0,768.0,25382.399999999998,0.0,1
216,653,7,386.0,27408.0,110728.31999999999,0.0,10
217,66,6,1146.0,34380.0,316639.80000000005,0.0,2
218,660,7,7.0,840.0,20580.0,0.0,1
219,665,3,68.0,408.0,17000.0,0.0,1
220,665,4,18.0,288.0,13697.28,0.0,1
221,665,6,432.0,4970.0,211101.2,0.0,3
222,673,3,31.0,620.0,4263.041269841267,0.0,2
223,673,7,105.0,2050.0,14095.539682539675,0.0,4
224,679,4,6.0,720.0,417.59999999999997,0.0,1
225,679,7,76.0,8880.0,5901.599999999999,0.0,2
226,680,4,46.0,966.0,6642.09333333333,0.0,2
227,680,6,1792.0,41629.0,286235.71777777764,0.0,12
228,681,6,18.0,720.0,4950.628571428568,0.0,3
229,721,7,261.0,3746.0,92198.15000000001,0.0,3
230,731,3,1280.0,12800.0,277352.8,0.0,16
231,731,4,4.0,40.0,710.0999999999999,0.0,4
232,734,7,125.0,3840.0,28837.314285714274,0.0,8
233,737,6,79.0,3160.0,15072.996825396818,0.0,2
234,740,7,64.0,2147.0,15283.282222222215,0.0,5
235,764,6,100.0,800.0,5500.69841269841,0.0,1
236,768,6,110.0,10112.0,36200.96,0.0,4
237,770,7,1410.0,17112.0,666886.4634920635,0.0,18
238,773,3,29.0,232.0,22067.84,0.0,1
239,773,7,1315.0,19196.0,690544.433015873,0.0,4
240,793,5,66.0,1400.0,29740.0,0.0,2
241,795,7,2291.0,702240.0,84268.79999999999,0.0,8
242,8,5,330.0,68680.0,142732.24,0.0,8
243,813,7,94.0,14024.0,296924.8685714285,0.0,6
244,816,3,11.0,88.0,714.56,0.0,1
245,816,7,322.0,2756.0,356392.4,0.0,4
246,820,7,300.0,39100.0,4692.0,0.0,4
247,829,4,481.0,10932.0,123822.64,0.0,10
248,829,6,1891.0,45366.0,489782.08,0.0,10
249,834,6,38.0,228.0,9500.0,0.0,2
250,84,6,1.0,30.0,528.6,0.0,1
251,842,7,1.0,8.0,528.72,0.0,1
252,843,7,393.0,6726.0,62285.94825396825,0.0,9
253,844,6,236.0,2460.0,83347.90000000001,0.0,6
254,846,7,10.0,5250.0,19279.5,0.0,2
255,847,6,1336.0,123280.0,249272.0,0.0,9
256,849,6,1930.0,23130.0,156280.9657142857,0.0,10
257,851,6,17.0,340.0,1217.1999999999998,0.0,1
258,854,6,96.0,3840.0,11174.400000000001,0.0,2
259,863,6,1833.0,21996.0,260971.91999999998,0.0,34
260,868,6,33.0,7332.0,168966.64,0.0,2
261,869,4,331.0,8500.0,39660.438095238074,0.0,5
262,871,3,101.0,7446.0,98519.31428571427,0.0,5
263,871,4,37.0,2844.0,49095.2,0.0,2
264,871,6,287.0,22296.0,297407.2,0.0,7
265,876,6,2.0,12.0,500.0,0.0,1
266,899,6,261.0,35000.0,240655.55555555542,0.0,3
267,903,7,3.0,480.0,7929.599999999999,0.0,1
268,908,3,89.0,732.0,47056.08,0.0,3
269,908,4,269.0,2308.0,142225.68,0.0,4
270,908,6,349.0,2912.0,184523.28000000003,0.0,6
271,913,6,11.0,264.0,1815.2304761904752,0.0,3
272,928,7,95.0,11400.0,6612.0,0.0,3
273,943,4,56.0,2240.0,26342.399999999998,0.0,4
274,943,6,4776.0,73840.0,1329847.7,0.0,52
275,947,7,94.0,1144.0,1956.24,0.0,4
276,956,6,13.0,520.0,3004.0,0.0,2
277,968,7,76.0,34200.0,235154.857142857,0.0,4
278,984,3,9.0,900.0,99.0,0.0,1
279,984,4,6.0,600.0,66.0,0.0,1
280,984,6,16.0,2900.0,85729.00000000001,0.0,2
281,990,7,736.0,45942.0,878186.0,0.0,13
282,998,4,71.0,426.0,17750.0,0.0,1
